Front,Back
Q1: What is the purpose of the guide prepared by the Florence Immigrant & Refugee Rights Project?,"A1: The guide was prepared to assist immigrant detainees in Arizona who are representing themselves pro se in their removal proceedings.

"
Q2: Who is the intended audience of this guide?,"A2: The intended audience of this guide are immigrant detainees in Arizona who are representing themselves in their removal proceedings.

"
Q3: Is this guide a substitute for legal counsel?,"A3: No, this guide is not intended to provide legal advice or serve as a substitute for legal counsel.

"
Q4: Does the Florence Project charge for its services to immigrant detainees in Arizona?,"A4: No, the Florence Project is a nonprofit legal services organization and does not charge for its services to immigrant detainees in Arizona.

"
Q5: Can this guide be shared and distributed?,"A5: Yes, this guide is copyright protected but can be shared and distributed widely to assist indigent immigrants around the country.

"
Q6: Where can all guides from the Florence Project be downloaded?,"A6: All guides from the Florence Project are available to download on their website: www.firrp.org.

"
Q7: What is the request of the Florence Project if you are adapting the information in this guide into your own publication?,"A7: The Florence Project kindly asks that you give credit to them if you are adapting the information in this guide into your own publication.

"
Q8: Who adapted this guide in December 2022?,A8: The guide was adapted by the California Collaborative for Immigrant Justice (CCIJ) in December 2022.
Q1: Who is the Immigration Judge?,"A1: The Immigration Judge is the person who will make a decision about your case. They hold hearings in the courtroom and wear a black robe. This person doesn't work for ICE. It's their job to look at the facts of your case and apply the law fairly.

"
Q2: What is Immigration and Customs Enforcement (ICE)?,"A2: ICE is the agency that has put you in deportation proceedings and is in charge of detaining you. ICE is part of the Department of Homeland Security, or ""DHS.""

"
Q3: Who is the Government Attorney?,"A3: The Government Attorney is the lawyer who represents ICE when you go to your court hearings. They sit at the table next to you and also talk to the Judge. It's usually this attorney's job to ask the Judge to order you deported.

"
Q4: What is Deportation?,"A4: Deportation, also called ""removal proceedings,"" is when ICE has put you in proceedings to be deported or ""removed"" from the United States. If the Judge orders you deported, you will be sent back to the country where you are a citizen and will not be able to return legally to the U.S. for at least ten years.

"
Q5: What is The Florence Project?,A5: The Florence Project is a group of lawyers and legal assistants who provide free legal help to people without lawyers. The Florence Project wrote this guide to help you understand your case.
Q1: What is the first step in the appeal process according to the FIRRP guide?,"A1: The first step is to reserve your right to appeal.

"
Q2: What is the second step in the appeal process according to the FIRRP guide?,"A2: The second step is filing your Notice of Appeal.

"
Q3: What is the third step in the appeal process according to the FIRRP guide?,"A3: The third step is filing your Appeal Brief.

"
Q4: What should you do after filing your Appeal Brief according to the FIRRP guide?,"A4: After filing your Appeal Brief, you should check the status of your appeal.

"
Q5: What are the possible outcomes of an appeal according to the FIRRP guide?,"A5: The possible outcomes of an appeal are losing and winning the appeal.

"
Q6: What happens when the government appeals according to the FIRRP guide?,"A6: When the government appeals, you will need to respond and possibly go through another round of the appeal process.

"
Q7: What is the process for appealing a bond decision according to the FIRRP guide?,"A7: The FIRRP guide does not provide specific steps for appealing a bond decision, it simply mentions it as a possible action.

"
Q8: What is the purpose of Appendix A in the FIRRP guide?,"A8: Appendix A provides a suggested conversation with a judge when reserving an appeal.

"
Q9: What is the purpose of Appendix B in the FIRRP guide?,"A9: Appendix B provides a suggested outline for a written brief to the BIA.

"
Q10: What is the purpose of Appendix C in the FIRRP guide?,A10: Appendix C provides a Certificate of Service.
Q1: What is the Board of Immigration Appeals (BIA)?,"A1: The Board of Immigration Appeals (BIA) is a higher court that decides all appeals from immigration courts around the country. It is located in Falls Church, Virginia.

"
Q2: What kind of evidence does the BIA consider in an appeal?,"A2: The BIA usually can't look at new letters or other documents, which means that they will normally only look at the evidence given to the immigration judge.

"
Q3: Who else has the right to appeal to the BIA besides the defendant?,"A3: Immigration & Customs Enforcement (ICE) also has the right to appeal to the BIA if the judge grants the defendant relief or a good bond.

"
Q4: What is the first part of the guide focused on?,"A4: The first part of the guide is focused on appealing decisions in removal (deportation) proceedings only.

"
Q5: What is the second part of the guide focused on?,"A5: The second part of the guide explains appeals in bond proceedings since they work a little differently.

"
Q6: What should you do at the end of your immigration court hearing if you think you will want to file an appeal?,"A6: If you think you will want to file an appeal, it is very important to say YES to the question ""do you want to appeal my decision?"" and RESERVE your right to appeal.

"
Q7: How many days are you given to file your Notice if you reserve your right to appeal?,A7: When you reserve your right to appeal you are automatically given 30 days to file your Notice.
Q1: What are some factors to consider when deciding whether to appeal a judge's decision in an immigration case?,"A1: Factors to consider include the strength of your case, whether the facts and law are in your favor, whether anything unfair or extreme happened in your hearing that hurt your ability to present your case, and whether you can endure several more months in detention if you are appealing a negative decision and cannot pay your bond or don’t have a bond.

"
Q2: What are some examples of unfair or extreme situations that might have occurred during your hearing?,"A2: Examples include not understanding your interpreter, the judge not allowing you to testify fully, the ICE attorney being overly aggressive or harassing, one of your witnesses not being allowed to testify, your written evidence being excluded, or having a mental or medical issue that impaired your ability to understand what was happening.

"
