Front,Back
Q1: What is a bond in the context of immigration law?,"A1: A bond is not a fine. It is a guarantee to the government that, if you are let out of detention, you will go to all of your hearings and will obey the judge's order at the end of the case. If you go to all your immigration hearings or interviews, whoever paid your bond will get the money back when your case is over. If you lose your case, you must report to DHS or you will not get the bond money back.

"
Q2: Can the Immigration Judge lower the bond amount?,"A2: Yes, you can ask the Immigration Judge to lower your bond by requesting a bond hearing. However, the Immigration Judge does not have the power to lower everyone’s bond amount. Also, the Immigration Judge has the power to raise the amount or take the existing bond away.

"
Q3: Can the Immigration Judge change my bond?,"A3: Yes, unless you are being charged as an arriving alien, or you were charged by ICE because you were convicted of certain types of crimes (including “aggravated felonies”).

"
Q4: Can I ask for another bond hearing if the bond amount set by the Immigration Judge is still too high?,"A4: No, unless your situation has fundamentally changed.

"
Q5: How can I prepare for my bond hearing if I am representing myself?,"A5: 1) Gather documents that support your bond request. 2) Ask your family and friends to attend your hearing in person at the Immigration Court. 3) Practice answering the questions the judge might ask you by filling out the worksheet “Preparing for Your Bond Hearing”.

"
Q6: Do I have to pay my entire bond amount to get released?,"A6: Yes.

"
Q7: Are there bond agencies that can help me pay my bond amount?,"A7: Yes. Refer to the Bond Agencies list, at page 8 of this packet. Note that immigration bonds and criminal bonds are not the same.
Page 1
"
Q1: What is the process for a family member to post bond for an individual in immigration detention?,"A1: The person supplying the bond money, known as the obligor, must show proof of identity. They are responsible for ensuring that the detained individual presents themselves before an ICE officer or agent when requested. The obligor must provide the detainee's address, phone number, and some background information, including date of birth, place of birth, and the date and manner of entry into the United States. Bonds can be posted from Monday to Friday, 9 a.m. - 3 p.m. at any Department of Homeland Security Offices by paying the full bond amount by cashier’s checks or United States Post Office (USPS) money order, payable to the “U.S. Department of Homeland Security.”

"
Q2: What forms of payment are accepted for posting bond?,"A2: Only cashier’s checks or United States Post Office (USPS) money orders are accepted for posting bond. These must be made payable to the “U.S. Department of Homeland Security.” Cash is not accepted.

"
Q3: Can a person who does not live in the same area as the detainee post the bond?,"A3: Yes, a person can post the bond in another city or state. A list of field offices and locations where bond can be posted throughout the United States can be found on the ICE website.

"
Q4: How soon after bond is posted will the detainee be released?,"A4: Typically, detainees are released on the day the bond is posted. However, release may be delayed until the next business day if the bond is posted late in the day or at a facility outside of the region where the individual is detained.
Page 2
"
Q1: What are the two main things you must show to be eligible for a bond in an immigration case?,"A1: You must show that you are not dangerous to people or property and that you will attend all your future court hearings.

"
Q2: How can you request a bond hearing?,"A2: You can request a bond hearing in two ways: in writing by sending a written request to the immigration court titled “Motion to Request Custody Determination”, or in person by asking the judge at your first hearing for a bond hearing.

"
Q3: What should you do if you have been scheduled for a bond hearing by the Immigration Court?,"A3: You should review all documents you have received to see if any are a “Notice of Hearing” regarding “bond”. The notice contains the information about the location, date, and time of your scheduled bond hearing.

"
Q4: Who should you call to request letters of support and help collecting evidence for your bond hearing?,"A4: You should call family, friends, employers, religious leaders, and others who can provide letters of support and help collect evidence.

"
Q5: What are some suggestions for the letters of support?,"A5: The letters should be in English, start with “Dear Honorable Immigration Judge”, state the detainee’s full name and A number, include the letter writer’s address, U.S. immigration status, and signature, explain why you are a good person, why you can be trusted to come to immigration court in the future, and why you do not present a danger to people or property. At least one letter should explain that the letter writer can help you with housing & food.

"
Q6: What are some examples of evidence that can be used in a bond hearing?,"A6: Evidence that your family members are U.S. citizens or legal permanent residents, such as birth certificates of your children born in the United States, Permanent Resident Cards, U.S. passports, or Naturalization certificates for relatives.
Page 3
"
Q1: Who should attend the hearing in person or be available to testify by telephone?,"A1: Your family members should attend the hearing in person or be available to testify by telephone. However, it is not recommended that anyone without U.S. legal status attend court hearings.

"
Q2: What are some examples of proof that you have connections to the U.S.?,"A2: Examples of proof that you have connections to the U.S. include marriage certificates, pay check stubs, proof of tax payment, certificates of completing classes, evidence of volunteer work or community service, church/temple attendance, evidence of property ownership in the U.S., and evidence of being a victim of a crime and assisting with the investigation and/or prosecution.

"
Q3: What evidence can show your ability to pay for bond?,"A3: Evidence of how much you can pay for bond can include pay check stubs and income tax returns for you and anyone who can help you pay bond, and copies of utility and telephone bills and documentation of other basic expenses that you and anyone who can help you pay bond is responsible for.

"
Q4: How should your family or friends send the letters and evidence to you?,"A4: Your family or friends can mail you copies of everything to arrive before your hearing date using an overnight express mail/courier service scheduled to arrive to your detention facility at least 2 business days before your hearing. Alternatively, they can bring 3 copies of all of the evidence with them to the bond hearing at the San Francisco Immigration Court.

"
Q5: What should you do on the day of your bond hearing?,"A5: On the day of your bond hearing, you should have your letter(s) of support and any other evidence in hand to file. Your family and friends can, and should, come to immigration court to testify for you, or they may testify by telephone. Make sure that all witnesses have legal status in the U.S. and to bring telephone numbers with you to court for any possible witnesses. 

"
Q6: What should you do to prepare for your bond hearing?,"A6: You should practice answering the questions the judge will ask and review and prepare to present your evidence.
Page 4
"
Q1: What are some questions the judge might ask at the bond hearing?,"A1: The judge might ask about your family in the United States, their dependency on you, your residence, property ownership, work history, education, fear of returning to your country, visa petitions, plans if released, and your ability to pay for bond.

"
Q2: What is the importance of preparing for the bond hearing?,"A2: The bond hearing is usually very short and most people only get one chance at it. Therefore, it's crucial to be well-prepared to answer all possible questions.

"
Q3: What kind of family information might the judge ask for at the bond hearing?,"A3: The judge might ask if you have any family in the United States who are lawful permanent residents or United States citizens, and if any of your family members depend on you or have medical or other problems.

"
Q4: What kind of property and residence information might the judge ask for at the bond hearing?,"A4: The judge might ask where you live, how long you have lived there, and if you own any property in the United States.

"
Q5: What kind of work and education information might the judge ask for at the bond hearing?,"A5: The judge might ask if you have worked in the United States, what kind of work you did, if you attended school in the United States, and how far you got in school.

"
Q6: What kind of immigration history might the judge ask for at the bond hearing?,"A6: The judge might ask when you first entered the United States and if any visa petitions have been filed for you.

"
Q7: What kind of future plans might the judge ask for at the bond hearing?,"A7: The judge might ask where you would live and work if you were released.

"
Q8: What kind of financial information might the judge ask for at the bond hearing?,"A8: The judge might ask how much you can pay for bond, how much you were earning before you were detained, how much money you have saved up, who in your family and life will help you pay bond, and why your family and friends can't help you pay more.

"
Q9: What kind of additional information might the judge ask for at the bond hearing?,"A9: The judge might ask if there is anything else you wish to say to support your bond request, such as any rehabilitation you did for any criminal convictions.
Page 5
"
Q1: What should you tell the judge during a bond hearing?,"A1: You should tell the judge what forms of relief you are applying for and anything that you think helps your case, even if she hasn’t asked.

"
Q2: What documents should you bring to the bond hearing?,"A2: You should bring documents that support your bond request, such as letters of support, evidence of family members being U.S. citizens or legal permanent residents, marriage certificates, pay check stubs, proof of tax payment, certificates of completed classes, proof of connections to the U.S., evidence of property ownership in the U.S., evidence of being a victim of a crime and assisting with the investigation, and evidence of rehabilitation.

"
Q3: How many copies of the evidence should you have and when should they arrive at the detention facility?,"A3: You should have your family send 3 copies of all of the evidence to you directly, scheduled to arrive at the detention facility at least 2 business days prior to your hearing.

"
Q4: Who should attend the bond hearing?,"A4: Your family members should attend the hearing in person or be available to testify by telephone. However, it is not recommended for anyone without U.S. legal status to attend court hearings.

"
Q5: What should you bring to your bond hearing?,"A5: You should bring all the evidence and legal paperwork you have in your possession to your bond hearing.

"
Q6: What are some examples of proof that shows you have connections to the U.S.?,"A6: Examples of proof that shows you have connections to the U.S. include any volunteer work, community service, church/temple attendance, etc.

"
Q7: What is the importance of telling the judge what forms of relief you are applying for?,"A7: Telling the judge what forms of relief you are applying for is important because people who are not applying for any relief are likely to get a high bond or no bond.
Page 6
"
Q1: What is the typical cost of Immigration Bonds?,"A1: Immigration Bonds typically cost between 15 -20% of the bond.

"
Q2: What factors influence the cost of an Immigration Bond?,"A2: The cost of an Immigration Bond depends on the collateral used to guarantee the bond, its location, value, etc.

"
Q3: What can be used as collateral to guarantee an Immigration Bond?,"A3: Collateral such as real estate, credit cards, stocks and bonds, and partial cash can be used to guarantee an Immigration Bond.

"
Q4: What is the contact information for Gonzales & Gonzales bond agency?,"A4: Gonzales & Gonzales can be reached at 1-800- 628- 8888 or www.gandgbonds.com. Their address is 412 E. Commercial Street, Los Angeles, California 90012.

"
Q5: What is the contact information for US Immigration Bonds agency?,"A5: US Immigration Bonds can be reached at 1-800- 225- 2587 or www.usimmigrationbonds.com. Their address is 114 SW 10th Street, Suite C, Fort Lauderdale, Florida 33315.

"
Q6: What is the contact information for Berlin Bail Bonds agency?,"A6: Berlin Bail Bonds can be reached at 1-973- 642- 5523 or berlinbailbonds@aol.com. Their address is 972 Broad St, Newark, NJ 07102.

"
Q7: What is the contact information for Freedom Federal Bonding Agency?,"A7: Freedom Federal Bonding Agency can be reached at 1-832- 831- 5252 or www.freedomfederalbondingagency.com. Their address is 6309 Skyline Drive, Houston, TX 77057.

"
Q8: What is the contact information for Martell Bail Bonds agency?,"A8: Martell Bail Bonds can be reached at 1-888- 865- Bail (2245) or www.martellbailbonds.com. Their address is 18 Church Street 2nd Floor, Paterson, NJ 07505.
Page 7
"
Q1: What is the purpose of a Motion for Custody Redetermination Hearing in removal proceedings?,"A1: The purpose of a Motion for Custody Redetermination Hearing in removal proceedings is to request a redetermination of the conditions of detention release pending determination of removability.

"
Q2: Under which sections of the Code of Federal Regulations can a Motion for Custody Redetermination Hearing be requested?,"A2: A Motion for Custody Redetermination Hearing can be requested under 8 C.F.R. § 1003.19 and 8 C.F.R. § 1236.1(d).

"
Q3: Who can submit a Motion for Custody Redetermination Hearing?,"A3: The respondent, or the person facing removal proceedings, can submit a Motion for Custody Redetermination Hearing.

"
Q4: What information is required in the Motion for Custody Redetermination Hearing?,"A4: The Motion for Custody Redetermination Hearing requires the respondent's name and A number, which is an identification number assigned by Immigration and Customs Enforcement.

"
