Front,Back
Q1: What is the purpose of the CCIJ 02/2020 packet?,"A1: The CCIJ 02/2020 packet provides information about Asylum, Withholding of Removal, and the Convention Against Torture. It includes a checklist for an asylum case, frequently asked questions about Form I-589, guidance on writing a declaration, and preparation for an individual hearing.

"
"Q2: What are Asylum, Withholding of Removal, and protection under the Convention Against Torture?","A2: These are three forms of relief from removal or deportation for people who are afraid to return to their home countries. Each form of relief has different requirements and benefits.

"
Q3: What are the benefits of being granted asylum?,"A3: If asylum is granted, the individual will be released, have permission to work immediately, and be eligible for permanent residency one year from the date asylum is granted. They can apply for travel documents and eventually become a U.S. citizen.

"
Q4: What are the requirements to apply for asylum?,"A4: To apply for asylum, one must apply within one year of their most recent arrival in the United States or within a reasonable time after establishing that there are changed or extraordinary circumstances that make them eligible for asylum. If they arrived at the United States southern land border after traveling through countries other than their country of origin, they will only qualify for asylum if they comply with one of the exceptions, such as being Mexican.

"
Q5: What are examples of changed or extraordinary circumstances that could make someone eligible for asylum?,"A5: Changed circumstances could include a new government in control in the home country that is hostile toward the individual's religion. Extraordinary circumstances could include arriving in the US as an unaccompanied minor child or having been in the United States with authorization before now.
Page 1
"
Q1: What are the conditions under which you can request asylum in the U.S.?,"A1: You can request asylum in the U.S. if you arrived at the U.S. border before July 16, 2019, applied for protection from persecution or torture in at least one country you traveled through and were denied, or if you are a victim of severe trafficking in persons.

"
Q2: What constitutes persecution for the purpose of asylum?,"A2: Persecution can include serious physical harm, serious threats or attempts to harm, coercive medical or psychological treatment, overly harsh punishment by police or government, severe discrimination and economic persecution, or severe criminal extortion or robbery.

"
Q3: What are the five protected grounds for asylum?,"A3: The five protected grounds for asylum are race or ethnicity, religion, nationality, political opinion, or membership in a particular social group.

"
Q4: Who must be responsible for the abuse for an asylum claim to be valid?,"A4: The government of your home country must be responsible for the abuse, or it must be inflicted by a group the government is unable or unwilling to control.

"
Q5: What disqualifies you from applying for asylum?,"A5: If you have been convicted of an aggravated felony or a ""particularly serious crime"", you are not eligible to apply for asylum.

"
Q6: What is the role of character in an asylum application?,"A6: You must be able to show that you deserve to receive asylum because of your good character.

"
Q7: Which countries are part of the 1951 UN Refugee Convention?,"A7: El Salvador, Guatemala, Honduras, and Mexico are part of the 1951 UN Refugee Convention.
Page 2
"
Q1: What is Withholding of Removal (WOR)?,"A1: Withholding of Removal (WOR) is a form of relief granted to individuals who fear being persecuted in their home country. It does not make you eligible for permanent residency or citizenship in the United States. Instead, you will be technically ordered deported, but the United States will not deport you to the country where you fear being persecuted.

"
