Front,Back
Q1: What is the Florence Immigrant & Refugee Rights Project?,"A1: The Florence Immigrant & Refugee Rights Project is a nonprofit legal services organization that works with adults and children in immigration custody in Arizona.

"
Q2: What is the purpose of the guide prepared by the Florence Project?,"A2: The guide is prepared for immigrant detainees who represent themselves in their removal proceedings.

"
Q3: Does the Florence Project charge for their services?,"A3: No, the Florence Project does not charge for their services.

"
Q4: Can the guide prepared by the Florence Project be shared and distributed?,"A4: Yes, the guide is copyright protected but can be shared and distributed widely to help immigrants around the country.

"
Q5: What should you do if you adapt the information in the guide into your own publication?,"A5: If you adapt the information in the guide into your own publication, you should credit the Florence Project.

"
Q6: Is the guide intended to provide legal advice?,"A6: No, the guide is not intended to provide legal advice. It is not a substitute for legal counsel. 

"
Q7: Where can you find the guides prepared by the Florence Project?,A7: The guides prepared by the Florence Project can be found on their website: www.firrp.org.
Q1: Who is the intended audience for this guide?,"A1: The intended audience for this guide are individuals who are seeking information about the immigration law removal defense process.

"
Q2: What rights do individuals have in the immigration law removal defense process?,"A2: Individuals have the right to ask for protection in the immigration law removal defense process.

"
Q3: How are the Credible Fear Process and the Reasonable Fear Process different in immigration law removal defense?,"A3: The guide does not provide specific details on how the Credible Fear Process and the Reasonable Fear Process are different in immigration law removal defense.

"
Q4: What options do individuals have if they change their mind and do not want to wait for their interview in the immigration law removal defense process?,"A4: The guide does not provide specific details on what options individuals have if they change their mind and do not want to wait for their interview in the immigration law removal defense process.

"
Q5: How can individuals prepare for their interview in the immigration law removal defense process?,"A5: The guide does not provide specific details on how individuals can prepare for their interview in the immigration law removal defense process.

"
Q6: What happens after the interview in the immigration law removal defense process?,"A6: The guide does not provide specific details on what happens after the interview in the immigration law removal defense process.

"
Q7: How can the Florence Project assist individuals in the immigration law removal defense process?,A7: The guide does not provide specific details on how the Florence Project can assist individuals in the immigration law removal defense process.
"Q1: What does the term ""Deportation"" mean in the context of immigration law?","A1: Deportation refers to the process where ICE (Immigration and Customs Enforcement) has put you in deportation proceedings, also known as removal proceedings. If the judge orders you deported or “removed” from the United States, officials will send you back to the country where you are a citizen. You will not be able to legally return to the U.S. for at least 10 years.

"
Q2: What is the Florence Project?,"A2: The Florence Project is a group of lawyers and legal assistants who provide free legal help to people who do not have lawyers. They also create guides to help individuals understand their cases.

"
Q3: Who is the Government Attorney in the context of immigration law?,"A3: The Government Attorney is the lawyer who represents ICE when you go to your court hearings. This lawyer sits at the table next to you and talks to the judge. Their role is to see that justice is done, and usually, they ask the judge to order to deport you.

"
Q4: What is Immigration and Customs Enforcement (ICE)?,"A4: ICE is the agency that has put you in deportation proceedings and detained you. ICE is part of the Department of Homeland Security, or DHS.

"
Q5: Who is the Immigration Judge?,A5: The Immigration Judge is the person who will decide your case. Judges hold hearings in the courtroom and wear black robes. They should look at the facts of your case and apply the law fairly. Judges do not work for ICE.
Q1: Who is the intended audience for the guide from the Florence Project?,"A1: The guide is intended for individuals who are in the United States without permission and are afraid to return to their home country.

"
Q2: What is asylum in the context of immigration law?,"A2: Asylum is a way to stop deportation and become a refugee in the United States. It is a type of protection from being deported. You may win asylum if you have been seriously harmed or persecuted in your home country before or if you can show that, if you are deported, you will be persecuted in the future.

"
Q3: What happens if you express fear of deportation to your home country to an immigration officer or judge?,"A3: If you express fear of deportation to your home country, an asylum officer may interview you. That asylum officer will decide if you can apply for asylum and which process applies to you.

"
Q4: What are the two different processes that may apply to an individual seeking asylum?,"A4: The two different processes that may apply are the credible fear process and the reasonable fear process.

"
Q5: When does the credible fear process apply?,"A5: The credible fear process applies if you have recently come to the United States without permission.

"
Q6: When does the reasonable fear process apply?,"A6: The reasonable fear process applies if you have been deported before, have a prior deportation order, or have been convicted of an aggravated felony and are not a lawful permanent resident.

"
Q7: How are the credible fear and reasonable fear processes different from the regular deportation process?,"A7: The credible fear and reasonable fear processes are different from the regular deportation process in that they involve different criteria and procedures for determining whether an individual can apply for asylum.

"
Q8: Where can you find more detailed information about asylum?,"A8: More detailed information about asylum can be found in the Florence Project’s booklet, ""I’m Afraid to Go Back: A Guide to Asylum, Withholding of Removal, and the Convention Against Torture"". It can be accessed at https://firrp.org/resources/prose/."
Q1: What right does a person have in terms of seeking protection from persecution or torture in their home country?,"A1: By law, a person has the right to ask the United States to protect them from persecution or torture in their home country.

"
Q2: Does this right guarantee that the government must let the person stay in the United States or that it cannot deport them?,"A2: No, this right is only to ask for protection. It does not necessarily mean that the government must let the person stay in the United States or that it cannot deport them.

"
Q3: What happens if a person expresses fear of being deported to their home country to an immigration officer or judge?,"A3: If a person expresses fear of being deported to their home country, they must have the chance to tell an asylum officer their story. This is part of exercising their right to seek protection and to start the credible fear or reasonable fear process.

"
Q4: What is the possible outcome of expressing fear and starting the credible fear or reasonable fear process?,"A4: By expressing fear and starting the credible fear or reasonable fear process, a person may then be able to apply for asylum."
Q1: What is the Credible Fear Process in immigration law?,"A1: The Credible Fear Process applies to individuals who do not have a prior order of deportation, have not been convicted of an aggravated felony, have expressed fear, and have not been before an immigration judge. Within 10 days of expressing fear, they should have an interview with an asylum officer who will decide if they have shown a ""credible fear"" of being deported, or if a ""significant possibility"" exists that they could win a case for asylum before a judge.

"
Q2: What is the Reasonable Fear Process in immigration law?,"A2: The Reasonable Fear Process applies to individuals who have been deported before, have an in absentia order of deportation, or have been convicted of committing an aggravated felony. During the reasonable fear interview, the asylum officer will decide if the individual has shown a ""reasonable possibility"" that they will be persecuted or tortured if they are deported.

"
Q3: What is the difference between the Credible Fear Process and the Reasonable Fear Process?,"A3: The main difference between the two processes is the individuals they apply to. The Credible Fear Process applies to those without a prior deportation order and no aggravated felony conviction, while the Reasonable Fear Process applies to those who have been deported before, have an in absentia order of deportation, or have been convicted of an aggravated felony.

"
Q4: What is the waiting time for an interview in the Credible Fear Process?,"A4: Within 10 days of expressing fear, an individual should have an interview with an asylum officer. However, in practice, especially in places like Arizona, the wait time may be longer.

"
Q5: What is the waiting time for an interview in the Reasonable Fear Process?,"A5: The waiting time for an interview in the Reasonable Fear Process is typically longer than in the Credible Fear Process. In Arizona, for example, some people have waited 6 months to 12 months for their reasonable fear interviews."
Q1: What are your rights if you decide not to wait for your asylum interview?,"A1: You have the absolute right to not wait for your asylum interview. If you decide to leave detention, you should contact your deportation officer and state that you no longer wish to wait for an interview and that you will accept deportation or voluntary departure if available.

"
Q2: What are the potential consequences of deciding not to wait for your asylum interview?,"A2: If you decide to leave detention, it might be much harder or even impossible to apply for asylum later. Your level of proof will be higher in the future and the government attorney might argue that you were not really afraid because you chose to go back to your country.

"
Q3: How can you prepare for your asylum interview?,"A3: Preparing for your interview will help make your case stronger. It is normal to feel nervous or scared about the process. If you need an interpreter for the interview, tell the asylum officer right away. If a problem with the interpreter arises or you do not understand each other well, tell the officer immediately.

"
Q4: What should you do if the interpreter makes a mistake during your asylum interview?,"A4: If the interpreter does not translate properly and the officer assumes that you caused the mistakes or errors, you should correct it immediately. Since the officer decides if your case goes before a judge, it is especially important that you make a correction if it sounds like they misunderstood what you said."
Q1: What is the main focus of the questions asked by the asylum officer?,"A1: The main focus of the questions asked by the asylum officer is on your fear and why you are afraid to go back to your country.

"
Q2: What is not a valid reason for seeking asylum?,"A2: Simply showing that you are a good person and that you came to the United States to work and support your family is not a valid reason for seeking asylum.

"
Q3: What are some of the things the officer will want to know in your interview?,"A3: The officer will want to know who harmed, persecuted, or tortured you (or will they do so in the future), why they did it, and if the reason was something about you in particular such as your race, religion, nationality, political opinion, or your membership in a group (your sexual orientation, gender, disability).

"
Q4: What should you do if you are unsure or do not know an answer to a question asked by the asylum officer?,"A4: If you are unsure or do not know an answer to a question asked by the asylum officer, you should tell the officer that you are not sure or do not know the answer.

"
Q5: What is the consequence of lying to the asylum officer?,A5: Lying to the asylum officer will make things worse.
Q1: What should you be specific about when explaining why you were harmed?,"A1: You should be specific about why you were harmed due to your political ideas. You should explain precisely how you know that, for example, if the person who hurt you said something that told you about their reason, or if the person was wearing clothing or had a hairstyle that let you know.

"
Q2: What should you consider about the government's involvement in your persecution?,"A2: You should consider how the government in your country was involved. If the government itself did not harm, persecute, or torture you, what did the government of your country – including the police – try to do about it? You should be able to prove that the government of your country, including the local authorities, were either unwilling or unable to protect you.

"
Q3: What should you be able to show if you tried to go somewhere else in your country?,"A3: You should be able to show that if you tried to go somewhere else in your country, the people who harmed you (or who want to harm you) are still there and still want to harm you, the people who will harm you will find you wherever you go, or it would be unreasonable for you to go anywhere else, maybe because you would be at great risk of harm in general.

"
Q4: What happens after your interview for asylum?,"A4: In the days after your interview, the asylum officer will decide if your fear is credible or reasonable and if you should be able to apply for asylum before the immigration judge. The officer will write a summary of what you said in the interview and send it to you with the decision."
