Front,Back
Q1: What is the purpose of the manual discussed in the text?,"A1: The manual is designed to give practitioners an introduction to removal proceedings so that they may better assist their clients who have been charged with being removable and placed in removal proceedings. It contains clear, concise, and detailed explanations of the various stages of a case before an immigration judge with helpful tips and pointers to guide a practitioner through proceedings.

"
Q2: What are some reasons an immigrant might find themselves in front of an immigration judge?,"A2: They might be apprehended by law enforcement, and Immigration and Customs Enforcement (ICE) learns that they are here in violation of immigration laws; they might file a case before U.S. Citizenship and Immigration Services (USCIS) and get referred to immigration court; or they might get referred after apprehension at the border or upon expiration of status.

"
Q3: What is the concept of admission in the context of immigration law?,"A3: The concept of admission refers to the legal process by which a non-citizen is granted entry into the United States after inspection by an immigration officer. It is a key factor in determining an immigrant's legal status and rights, and whether they are subject to removal proceedings.

"
Q4: What is the difference between inadmissibility and deportability?,"A4: Inadmissibility refers to reasons why a non-citizen may be denied entry into the U.S., while deportability refers to reasons why a non-citizen who is already in the U.S. may be removed. The grounds for each are defined by immigration law.

"
Q5: What is the burden of proof in removal proceedings?,"A5: The burden of proof refers to the obligation to present evidence to the court or judge to prove one's case. In removal proceedings, the burden of proof differs depending on whether the immigrant is charged with being inadmissible or deportable. The specific rules and standards for the burden of proof are defined by immigration law and court precedents.

"
Q1: What is the burden of proof when an immigrant is seeking relief from removal?,"A1: The burden of proof when an immigrant is seeking relief from removal is on the immigrant to prove that they meet the requirements for relief.

"
Q2: What are expedited removal and administrative removal processes?,"A2: Expedited removal and administrative removal processes are types of removal proceedings that provide less due process than regular removal proceedings.

"
Q3: What are some of the non-criminal grounds of inadmissibility?,"A3: Non-criminal grounds of inadmissibility include unlawful presence bars, prior deportation orders, misrepresentation, and alien smuggling.

"
Q4: What are some of the non-criminal grounds of deportability?,"A4: Non-criminal grounds of deportability include being inadmissible at the time of admission, alien smuggling, and false claim to U.S. citizenship and unlawful voting.

"
Q5: What are the criminal grounds of inadmissibility and deportability?,"A5: The criminal grounds of inadmissibility and deportability are the most common grounds alleged for removal of LPRs and can pose barriers to relief from removal for many clients. These grounds include various crimes as defined under the Immigration and Nationality Act (INA).

"
Q6: What is the role of the master calendar hearing in the removal process?,"A6: The master calendar hearing is where the charges against the immigrant are discussed and contested. It includes practical information to assist the practitioner, including a discussion of the notice to appear, taking pleadings, and contesting removal.

"
Q7: What is covered in the chapter on trial preparation and motions?,"A7: This chapter covers preparation for the merits hearing, or individual hearing. It also discusses possible motions one might file before the immigration court, including motions to continue, change venue, and for telephonic testimony.

"
Q8: What are some of the relief options available to an immigrant facing removal?,"A8: The relief options available to an immigrant facing removal are discussed in the last four chapters of the text. These options are designed for initial case assessment and analysis and include various procedures and practical tips on filing.

"
Q1: What is prosecutorial discretion in the context of immigration law?,"A1: Prosecutorial discretion refers to the authority of an agency or officer to decide what charges to bring and how to pursue each case. In immigration law, it can be used to decide who to place into removal proceedings and whether to offer certain forms of relief, such as voluntary departure.

"
Q2: What is voluntary departure in immigration law?,"A2: Voluntary departure is an option in immigration law where an individual chooses to leave the country voluntarily, avoiding certain legal consequences of removal and deportation. It is often considered as a form of relief from removal.

"
Q3: What is non-lawful permanent resident cancellation of removal?,"A3: Non-lawful permanent resident cancellation of removal is a form of relief that one may apply for in removal proceedings. It allows certain non-permanent residents who meet specific criteria to avoid deportation and adjust their status to lawful permanent resident.

"
Q4: What is the Nicaraguan Adjustment and Central Americans Relief Act (NACARA)?,"A4: NACARA is a law that provides certain forms of relief, including cancellation and suspension of deportation, to certain Nicaraguans, Cubans, Salvadorans, Guatemalans, and nationals of former Soviet bloc countries who were in the United States as of a certain date.

"
Q5: What is the difference between withholding of removal and asylum?,"A5: Both are forms of relief from deportation, but they have different eligibility requirements and offer different benefits. Asylum is available to those who fear persecution in their home country on account of race, religion, nationality, political opinion, or membership in a particular social group. Withholding of removal is a form of relief that prohibits the U.S. government from deporting an individual to a country where their life or freedom would be threatened.

"
